ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt
0.0293,0.0008,0.0009,0.1676,0.3554,1.1528,0.3395,0.0049,0.1153,0.3938,1.6932,3.8634,9.8159,0.0026,96.3520,0.2837,-0.3227,0.4940,2.0675,4.2747,4.2748,12.1985,0.9755,2.9362,0.5470,0.2992,0.2992,3.0992,-0.6257,1.5307,0.4664,0.2175,0.2176,3.0076,1.7163,5.6071,0.2739,-0.4443,-0.6861,-0.8919,0.9671,-0.8705,52624.7656,227127.1563,2769365760.0000,2045.0000,1.5830,2.0346
0.0712,0.0032,0.0051,0.6620,1.5422,24.0702,0.0577,0.0028,0.0033,0.3915,-3.6909,17.3660,9.8100,0.0174,96.2368,1.0858,-2.5866,15.4080,0.1363,0.0185,0.0186,1.0992,0.4518,8.9749,0.2665,0.0701,0.0710,2.0458,0.4237,5.7327,0.1202,0.0144,0.0144,1.1756,0.5236,10.1166,-0.1087,0.6307,-0.2389,0.8407,-0.2298,-0.2130,43229.9961,592709504.0000,1868832640.0000,53751.0000,-0.7595,-1.4155
0.0500,0.0004,0.0025,0.2454,-0.2698,12.0013,0.0220,0.0005,0.0005,0.1915,0.0189,4.6021,9.8103,0.0007,96.2419,0.1664,-0.4619,0.6426,0.0469,0.0021,0.0022,0.2595,0.2537,0.7344,0.1051,0.0110,0.0111,0.7176,-1.9210,8.9210,0.0534,0.0027,0.0029,0.3969,0.5863,2.6211,0.0292,0.2437,0.3706,0.3758,-0.0399,0.0495,323.8534,151.1056,104881.0078,51.0000,-0.0483,-0.9340
0.0565,0.0018,0.0032,0.2466,-0.5957,1.2123,0.0290,0.0008,0.0008,0.1413,0.5218,0.3572,9.7975,0.0101,95.9902,0.5962,-0.3960,2.7070,0.0952,0.0085,0.0091,0.5344,0.0601,1.0403,0.2122,0.0416,0.0450,1.1908,-0.3955,1.2073,0.1263,0.0159,0.0160,0.7786,-1.6137,4.6691,-0.0445,0.6095,0.0104,0.7095,-0.2119,0.0034,325.5916,160.5160,106009.8828,51.0000,-0.1778,-0.8535
0.0438,0.0005,0.0019,0.1269,-2.6229,8.8964,0.0128,0.0002,0.0002,0.0539,0.3724,-0.1016,9.8174,0.0049,96.3812,0.5806,-0.3933,11.8108,0.0730,0.0051,0.0053,0.4733,1.1233,5.3225,0.1816,0.0322,0.0330,1.1756,-4.3601,20.5530,0.0386,0.0015,0.0015,0.2137,-0.1387,0.2491,0.2232,-0.3734,-0.2370,0.4286,0.0290,0.2811,325.1964,143.9744,105752.7266,48.0000,-0.1771,-0.7549
0.0504,0.0007,0.0025,0.1221,-1.5471,3.2291,0.0514,0.0026,0.0026,0.3041,2.2272,6.1654,9.8144,0.0015,96.3220,0.4357,-1.4798,17.3662,0.0595,0.0034,0.0035,0.5344,1.1465,9.4287,0.2216,0.0470,0.0491,1.3282,4.0902,17.7611,0.1236,0.0147,0.0153,1.0076,-1.0597,6.4825,-0.5650,0.5724,-0.0273,0.1010,-0.4034,0.4271,323.1808,152.3920,104445.8672,59.0000,-0.0733,-0.7603
0.0462,0.0004,0.0021,0.1544,0.8586,6.5494,0.0432,0.0018,0.0019,0.3855,0.7659,14.0215,9.8157,0.0013,96.3479,0.3112,2.8450,16.4666,0.0573,0.0031,0.0033,0.3511,0.8675,2.3925,0.0887,0.0079,0.0079,0.7481,-2.3204,13.0581,0.0738,0.0054,0.0054,0.4122,-1.3250,3.5762,-0.5158,-0.0987,0.1630,0.3402,-0.1258,0.2015,318.7968,160.4480,101631.3672,51.0000,0.0961,-0.9743
0.0396,0.0002,0.0016,0.0922,-0.7926,1.7960,0.0214,0.0005,0.0005,0.1604,-2.1258,9.1612,9.8122,0.0004,96.2797,0.1053,-0.0599,-0.1887,0.0553,0.0029,0.0031,0.2901,0.2574,0.2582,0.0767,0.0056,0.0059,0.3817,-0.0116,0.2366,0.0567,0.0032,0.0032,0.3053,0.3592,0.1697,-0.2615,0.4429,-0.3356,0.1974,-0.2226,-0.0318,319.6546,156.2919,102179.0391,51.0000,0.0416,-0.9510
0.0448,0.0001,0.0020,0.0539,0.0534,-0.6349,0.0149,0.0002,0.0002,0.0922,1.2219,4.3396,9.8111,0.0004,96.2579,0.0994,-0.4789,0.3138,0.0524,0.0027,0.0027,0.2595,-0.5010,0.6903,0.0615,0.0035,0.0038,0.2290,0.3566,-0.8820,0.0540,0.0029,0.0029,0.2443,-0.4929,0.0500,-0.2369,0.1489,0.0501,-0.3018,0.0263,-0.1244,322.6905,151.9180,104129.1484,54.0000,-0.1393,-0.6511
0.0495,0.0008,0.0025,0.1891,0.5128,6.0749,0.0348,0.0011,0.0012,0.3017,-0.1881,8.1883,9.8204,0.0023,96.4398,0.3148,0.6469,3.9012,0.0617,0.0037,0.0038,0.3359,0.1240,0.2911,0.1526,0.0230,0.0233,1.2672,-1.6965,7.8580,0.1075,0.0110,0.0116,0.7786,-1.8054,6.8641,-0.3742,0.5796,-0.2695,0.3582,0.0088,0.1009,322.6084,147.2956,104076.1563,58.0000,-0.1994,-0.6128
