subject_id,session_id,date,time,timestamp,session_duration,window_sequence_num,experiment_condition,ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ax_mean,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,ay_mean,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,az_mean,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gx_mean,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gy_mean,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,gz_mean,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt,ppg_mean,ppg_B0_frac,ppg_B1_frac,ppg_B2_frac,acc_L_frac,acc_M_frac,gyro_L_frac,gyro_M_frac,awake
S02,SES03,2025-11-12,16:08:46,1762988926.4788165,126.5588698387146,23,normal,1.995450,0.553446,3.981821,3.944448,-0.521381,1.510453,-1.851587,1.011144,0.130357,1.022413,2.207454,1.248841,2.694547,-0.944487,9.338071,0.301292,87.199570,3.970783,0.000029,4.243810,9.321924,15.411732,76.988228,237.521484,45.954197,0.751847,1.306858,-12.670172,12.995302,151.594818,168.877869,70.366409,0.413151,1.800536,-4.157290,17.774632,226.362854,315.937531,71.312981,2.380575,5.324648,9.464389,0.274107,0.111786,0.340933,-0.736679,-0.302831,0.482597,64172.335937,62793.910156,4118088704.000000,1643.000000,-0.548611,2.191010,64171.847656,0.361862,0.076328,0.300087,0.695333,0.261804,0.868117,0.140437,1
S02,SES03,2025-11-12,16:08:51,1762988931.6201808,131.70023441314697,24,normal,0.793750,0.280465,0.630040,2.316390,-1.002034,0.436671,-0.591248,1.455733,0.183453,2.119157,1.983596,-0.354018,0.101447,-1.391296,9.731892,0.173857,94.709709,4.727351,3.311322,25.243029,9.722955,12.426742,50.784504,154.423904,44.259541,-1.359534,3.523210,-10.180344,9.256492,78.975731,85.682640,59.374046,-0.059156,2.790609,-2.589771,7.554406,57.049305,57.069050,33.038166,-0.716563,-0.260784,-0.140515,-0.216374,0.307676,-0.167252,-0.544211,-0.256076,0.457664,63961.367187,48438.890625,4091056384.000000,1341.000000,-0.505676,0.984922,63960.988281,0.052348,0.665479,0.202687,0.167467,0.682923,0.761765,0.207476,1
S02,SES03,2025-11-12,16:08:56,1762988936.7604568,136.84051060676575,25,normal,0.508261,0.004391,0.258329,0.515950,0.696031,1.533248,-0.503923,1.471120,0.003075,2.164193,0.308852,0.907916,1.308324,-1.470074,9.757867,0.002945,95.215958,0.414197,0.692268,2.053297,9.757715,10.413260,3.091988,108.435966,14.442749,-2.965493,13.221107,-10.263721,1.288775,1.171182,1.660941,10.580153,-6.156127,46.568653,-0.699828,5.101194,1.657594,26.022181,11.603053,1.173151,9.462130,4.936049,0.359645,-0.590408,-0.100756,0.519725,-0.462294,0.183821,63817.476562,29515.019531,4072670208.000000,776.000000,-0.266533,-0.603396,63817.246094,0.214584,0.488088,0.211599,0.099675,0.665017,0.691431,0.254975,1
S02,SES03,2025-11-12,16:09:01,1762988941.9115756,141.99162912368774,26,normal,0.560626,0.001226,0.314301,0.226252,-0.187427,1.223466,-0.559531,1.584260,0.001371,2.509880,0.222661,0.455754,0.671637,-1.583827,9.742267,0.001248,94.911758,0.202311,0.427173,-0.045667,9.742203,10.001637,0.216624,100.032738,1.908397,-0.151675,-0.737841,-9.990802,0.898645,0.148119,0.807563,2.366412,-0.410406,1.356111,-0.812061,5.013239,0.141919,25.132568,2.045801,-0.544877,0.225758,4.999065,0.474775,-0.542723,-0.097222,0.145791,0.238406,0.524305,63675.964844,10079.471680,4054628352.000000,452.000000,-0.234082,-0.488770,63675.886719,0.113696,0.161866,0.425098,0.265342,0.556941,0.434487,0.526536,1
S02,SES03,2025-11-12,16:09:07,1762988947.051092,147.1311457157135,27,normal,0.672810,0.112156,0.452674,2.978387,1.975476,13.432526,-0.583539,1.666641,0.233163,2.777692,3.596091,1.908805,7.678189,-1.595158,9.743332,0.024805,94.932518,1.091757,0.105380,1.644919,9.742059,9.973571,15.994262,99.472122,31.083969,0.021767,5.124161,-9.136622,6.212297,38.573433,38.592640,44.931297,1.836179,8.001631,0.138588,7.426623,23.199017,55.154736,37.160305,2.064910,8.718016,5.652939,0.728850,0.103059,0.015552,-0.721063,-0.759691,0.874099,63685.597656,11341.535156,4055855104.000000,627.000000,-0.112758,0.834902,63685.507812,0.029075,0.230527,0.528783,0.268177,0.610474,0.643043,0.426974,1
S02,SES03,2025-11-12,16:09:12,1762988952.192319,152.27237272262573,28,normal,1.064376,0.030740,1.132897,0.986411,-1.253203,1.681791,-1.049837,1.416418,0.095396,2.006240,2.144007,2.002155,5.408759,-1.382333,9.613264,0.039288,92.414848,1.307234,0.043726,3.011818,9.611220,9.973326,31.560198,99.467232,42.564884,1.273133,5.776693,-8.240573,6.909553,44.929707,47.741920,39.969467,2.058521,4.386191,1.676966,6.518967,7.012856,42.496933,14.320610,0.479685,1.121309,5.956851,-0.430315,-0.008255,0.200446,0.144061,-0.345559,0.534822,64089.917969,11085.326172,4107517440.000000,483.000000,0.028740,-0.665836,64089.828125,0.375017,0.325110,0.155531,0.261139,0.543859,0.371619,0.575412,1
S02,SES03,2025-11-12,16:09:17,1762988957.3341684,157.41422200202942,29,normal,1.641140,0.059331,2.693342,1.556231,0.598812,2.028340,-1.622964,1.852328,0.061537,3.431118,1.376666,0.995610,1.367754,-1.835642,9.431789,0.032454,88.958656,1.124078,0.275416,0.691588,9.430069,12.015048,22.132740,144.361374,32.320610,-2.742119,11.098437,-11.055706,5.005305,25.045237,25.053083,43.221375,2.333626,11.563797,-0.088588,5.257872,8.601318,27.645214,19.389313,0.298755,2.997526,4.363931,0.809952,0.080944,0.278881,-0.805228,0.065486,0.039187,63641.042969,201412.562500,4050182400.000000,1627.000000,0.829074,-0.611288,63639.460937,0.776357,0.190772,0.018022,0.163937,0.756233,0.660877,0.310830,1
S02,SES03,2025-11-12,16:09:22,1762988962.4762533,162.55630683898926,30,normal,1.350692,0.028815,1.824368,1.116895,1.221380,2.409274,-1.339982,1.532652,0.108031,2.349023,1.752556,0.178789,0.590128,-1.496994,9.572221,0.118276,91.627403,2.512714,2.737037,11.727209,9.566040,10.307058,15.026756,106.235451,20.656488,-0.150255,0.833396,-9.550324,7.738385,55.771614,59.882603,43.419846,-0.084068,1.905877,-2.027557,7.253590,31.432608,52.614559,39.709923,0.367246,5.761996,4.602386,0.237818,-0.195125,-0.619294,-0.720808,-0.746931,0.814556,63171.414062,37150.339844,3990627328.000000,804.000000,0.611213,-0.373383,63171.117187,0.539300,0.336806,0.082535,0.100774,0.667014,0.637517,0.311178,1
S02,SES03,2025-11-12,16:09:27,1762988967.616234,167.69628763198853,31,normal,2.227930,0.448468,4.963670,5.869385,1.273137,7.221071,-2.124900,0.956258,0.494307,0.914430,5.376180,0.435859,3.823774,-0.648169,9.227612,0.056385,85.148834,1.493982,0.033840,2.115370,9.224557,12.723744,92.025116,161.893661,63.267174,0.956051,3.137029,-8.358741,15.161080,228.601410,229.858368,130.778625,-1.915601,12.055770,1.121145,9.151863,44.310532,83.756599,60.656487,-0.315621,8.745998,6.280611,0.135763,-0.070730,-0.548447,-0.647331,-0.298330,0.813991,63480.187500,10102.656250,4029734144.000000,511.000000,-0.040954,-0.385819,63480.109375,0.212317,0.318854,0.215851,0.063278,0.768007,0.588951,0.319718,1
S02,SES03,2025-11-12,16:09:32,1762988972.7559788,172.83603239059448,32,normal,1.446754,0.114962,2.093097,2.237381,0.929403,2.280914,-1.406462,1.774001,0.272724,3.147080,3.440468,0.981981,2.466603,-1.695393,9.496290,0.042897,90.179535,1.646013,-0.530831,5.627798,9.494032,12.606565,83.373894,158.925491,55.496181,0.746798,1.599099,-8.692042,8.849456,77.512077,78.312866,52.290077,-1.211870,3.318424,-0.894866,10.700983,75.533173,114.511032,44.656487,-0.085726,0.431777,6.243225,0.596759,-0.337161,-0.436195,-0.596555,-0.328195,0.588560,63284.757812,39191.562500,4004960512.000000,833.000000,0.300199,-0.707437,63284.449219,0.537901,0.298972,0.117780,0.298747,0.637769,0.526133,0.425067,1
